codPrograma,Programa
1,PRONAF
100,PRLC-BA
110,PRODECER III
151,PROCAP-AGRO
152,PROIRRIGA
153,MODERAGRO
154,MODERFROTA
155,PRODECOOP
156,ABC +
157,PSI-RURAL
158,PROCAP-CRED
50,PRONAMP
159,MODERMAQ
200,PROCERA
240,ANF
160,PRI
777,Linha Crédito Rural inst Res. 4.147/2012 e 4.260/2013 (Demais Agricultores) ENCERRADO
721,Linha Crédito Rural instit Res. 4.028/2011 (Dívidas Composição e Renegoc PRONAF) - ENCERRADO
722,Linha Crédito Rural inst Res. 4.029/2011 (Reneg Crédito Fundiário) ENCERRADO
779,Linha de Crédito Rural instituida pela Res. 4.161/2012 (Produtores de Arroz) ENCERRADO
730,Linha Crédito Rural inst Res. 4.083/2012 (Enchentes Reg Norte) ENCERRADO
783,Linha Crédito Rural inst pelas Res 4.189 e 4.212/2013-PRONAF (Estiagem Area Sudene) ENCERRADO
776,Linha Crédito Rural Inst Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares) ENCERRADO
784,Linha Credito Rural inst Res. 4.188 e 4.211/2013-Demais Produtores (Estiagem Area Sudene) ENCERRADO
161,PRORENOVA-RURAL
162,INOVAGRO
163,PCA
201,FTRA
735,Linha de Crédito Rural instituida pela Res. 4.126/2012 (Produtores de Maçã) ENCERRADO
785,Linha Crédito Rural inst  Res. 4.220/2013 (Recursos BNDES-Estiagem Área da Sudene) ENCERRADO
164,PRORENOVA-IND
165,PROAQÜICULTURA
888,Outras Linhas de Crédito Rural não Especificadas - ENCERRADO
786,Linha de Crédito Rural Instituída pela Res. 4.289/2013 (Renegociação Café Arábica) ENCERRADO
70,FUNCAFÉ
999,NÃO ESPECIFICADO
180,FNO-ABC
222,RenovAgro
790,Linha de Crédito Rural inst Res 5.120/2024 (Linha emergencial Custeio Pecuário)
