cod_produto;produto
1;Leite
2;Ovos de galinha
3;Ovos de codorna
4;Mel de abelha
5;Casulos do bicho-da-seda
6;Lã
7;Carpa
8;Curimatã, Curimbatá
9;Dourado
10;Jatuarana, Piabanha e Piracanjuba
11;Lambari
12;Matrinxã
13;Pacu e Patinga
14;Piau, Piapara, Piauçu, Piava
15;Pintado, Cachara, Cachapira e Pintachara, Surubim
16;Pirapitinga
17;Pirarucu
18;Tambacu, Tambatinga
19;Tambaqui
20;Tilápia
21;Traíra e Trairão
22;Truta
23;Tucunaré
24;Outros peixes
25;Alevinos
26;Camarão
27;Larvas e pós-larvas de camarão
28;Ostras, Vieiras e Mexilhões
29;Sementes de moluscos
30;Outros produtos
